"TimeUTC","timestampInMs","requestPath","requestMethod","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId"
"2025-01-22 08:46:36",1737535596053,"airbnb-backend-topaz.vercel.app/favicon.ico","GET",-1,"47nb9-1737535595472-99d5f91481df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-topaz.vercel.app","airbnb-backend-topaz.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",-1,"iad1",-1,-1,"Cannot find module './mongoDb/db'
Require stack:
- /var/task/server.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
"2025-01-22 08:46:35",1737535595579,"airbnb-backend-topaz.vercel.app/favicon.ico","GET",500,"47nb9-1737535595472-99d5f91481df","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-topaz.vercel.app","airbnb-backend-topaz.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",458,"iad1",86,1024,"","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
"2025-01-22 08:46:34",1737535594916,"airbnb-backend-topaz.vercel.app/api/listings","GET",-1,"mc7c8-1737535594321-a00ee0e5948b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-topaz.vercel.app","airbnb-backend-topaz.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",-1,"iad1",-1,-1,"Cannot find module './mongoDb/db'
Require stack:
- /var/task/server.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
"2025-01-22 08:46:34",1737535594424,"airbnb-backend-topaz.vercel.app/api/listings","GET",500,"mc7c8-1737535594321-a00ee0e5948b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-topaz.vercel.app","airbnb-backend-topaz.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",466,"iad1",87,1024,"","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
"2025-01-22 08:45:51",1737535551726,"airbnb-backend-topaz.vercel.app/favicon.ico","GET",-1,"lzswq-1737535551143-aae974d32214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-topaz.vercel.app","airbnb-backend-topaz.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",-1,"iad1",-1,-1,"Cannot find module './mongoDb/db'
Require stack:
- /var/task/server.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
"2025-01-22 08:45:51",1737535551249,"airbnb-backend-topaz.vercel.app/favicon.ico","GET",500,"lzswq-1737535551143-aae974d32214","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-topaz.vercel.app","airbnb-backend-topaz.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",453,"iad1",86,1024,"","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
"2025-01-22 08:45:50",1737535550582,"airbnb-backend-topaz.vercel.app/","GET",-1,"nmqb6-1737535550003-947d58d1edd0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-topaz.vercel.app","airbnb-backend-topaz.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",-1,"iad1",-1,-1,"Cannot find module './mongoDb/db'
Require stack:
- /var/task/server.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
"2025-01-22 08:45:50",1737535550109,"airbnb-backend-topaz.vercel.app/","GET",500,"nmqb6-1737535550003-947d58d1edd0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-topaz.vercel.app","airbnb-backend-topaz.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",449,"iad1",86,1024,"","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
"2025-01-22 08:40:54",1737535254381,"airbnb-backend-git-main-abdullah-masoods-projects-f589f895.vercel.app/","GET",-1,"7pnk4-1737535253802-62ead63381eb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-git-main-abdullah-masoods-projects-f589f895.vercel.app","airbnb-backend-git-main-abdullah-masoods-projects-f589f895.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",-1,"iad1",-1,-1,"Cannot find module './mongoDb/db'
Require stack:
- /var/task/server.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
"2025-01-22 08:40:53",1737535253903,"airbnb-backend-git-main-abdullah-masoods-projects-f589f895.vercel.app/","GET",500,"7pnk4-1737535253802-62ead63381eb","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36","error","production","main","MISS","lambda","/server.js","airbnb-backend-git-main-abdullah-masoods-projects-f589f895.vercel.app","airbnb-backend-git-main-abdullah-masoods-projects-f589f895.vercel.app","dpl_7DEnM6Ujg3GW3VgMmYLwWYQvohPa",459,"iad1",86,1024,"","prj_BWk5theEZylBmwWRBVrSUrs6IRdq"
